Host Country,Year,NEET %,COB
Ireland,'10,22.5,Foreign country
Ireland,'10,21.2,Reporting country
Ireland,'10,21.5,Total
Ireland,'11,23.5,EU-28
Ireland,'11,20.1,Extra-EU-28
Ireland,'11,22.6,Foreign country
Ireland,'11,21.8,Reporting country
Ireland,'11,22,Total
Ireland,'12,21.5,EU-28
Ireland,'12,20.3,Extra-EU-28
Ireland,'12,21.1,Foreign country
Ireland,'12,21.3,Reporting country
Ireland,'12,21.3,Total
Ireland,'13,19.6,EU-28
Ireland,'13,15.1,Extra-EU-28
Ireland,'13,18,Foreign country
Ireland,'13,18.7,Reporting country
Ireland,'13,18.6,Total
Ireland,'14,19.1,EU-28
Ireland,'14,15.4,Extra-EU-28
Ireland,'14,17.6,Foreign country
Ireland,'14,18.2,Reporting country
Ireland,'14,18.1,Total
Ireland,'15,19.4,EU-28
Ireland,'15,16.2,Extra-EU-28
Ireland,'15,17.9,Foreign country
Ireland,'15,16.5,Reporting country
Ireland,'15,16.8,Total
Ireland,'16,17.7,EU-28
Ireland,'16,15,Extra-EU-28
Ireland,'16,16.4,Foreign country
Ireland,'16,14.9,Reporting country
Ireland,'16,15.2,Total
Iceland,'06,5.1,Reporting country
Iceland,'07,4.5,Reporting country
Iceland,'08,5.1,Reporting country
Iceland,'09,13,EU-28
Iceland,'09,14.6,Foreign country
Iceland,'09,9.1,Reporting country
Iceland,'10,14.6,EU-28
Iceland,'10,15.1,Foreign country
Iceland,'10,9.5,Reporting country
Iceland,'10,10.1,Total
Iceland,'11,13.2,EU-28
Iceland,'11,12.2,Foreign country
Iceland,'11,7,Reporting country
Iceland,'11,7.6,Total
Iceland,'12,11.9,EU-28
Iceland,'12,10.2,Foreign country
Iceland,'12,6.5,Reporting country
Iceland,'12,7,Total
Iceland,'13,8.2,Foreign country
Iceland,'13,6.1,Reporting country
Iceland,'13,6.4,Total
Iceland,'14,7.1,Foreign country
Iceland,'14,6.7,Reporting country
Iceland,'14,6.9,Total
Iceland,'15,8.6,Foreign country
Iceland,'15,4.8,Reporting country
Iceland,'15,5.3,Total
Iceland,'16,4.7,Reporting country
Iceland,'16,4.6,Total
Hungary,'06,14.6,EU-28
Hungary,'06,14.7,Foreign country
Hungary,'06,16.5,Reporting country
Hungary,'07,17.7,EU-28
Hungary,'07,14.4,Foreign country
Hungary,'07,15.7,Reporting country
Hungary,'08,18.2,EU-28
Hungary,'08,17.5,Foreign country
Hungary,'08,15.8,Reporting country
Hungary,'09,18.2,EU-28
Hungary,'09,21,Foreign country
Hungary,'09,17.8,Reporting country
Hungary,'10,18.2,EU-28
Hungary,'10,18.3,Foreign country
Hungary,'10,17.7,Reporting country
Hungary,'10,17.7,Total
Hungary,'11,20.9,EU-28
Hungary,'11,18.8,Foreign country
Hungary,'11,17.6,Reporting country
Hungary,'11,17.6,Total
Hungary,'12,22.3,EU-28
Hungary,'12,20.6,Foreign country
Hungary,'12,18.7,Reporting country
Hungary,'12,18.7,Total
Hungary,'13,25.8,EU-28
Hungary,'13,27.4,Foreign country
Hungary,'13,18.3,Reporting country
Hungary,'13,18.4,Total
Hungary,'14,21.6,EU-28
Hungary,'14,19.5,Foreign country
Hungary,'14,16.4,Reporting country
Hungary,'14,16.4,Total
Hungary,'15,21.8,EU-28
Hungary,'15,19.7,Foreign country
Hungary,'15,15,Reporting country
Hungary,'15,15.1,Total
Hungary,'16,14.8,EU-28
Hungary,'16,15.5,Foreign country
Hungary,'16,14.1,Reporting country
Hungary,'16,14.1,Total
Greece,'06,19,EU-28
Greece,'06,22.9,Extra-EU-28
Greece,'06,22.2,Foreign country
Greece,'06,14.9,Reporting country
Greece,'07,20.1,EU-28
Greece,'07,24.8,Extra-EU-28
Greece,'07,23.9,Foreign country
Greece,'07,14.3,Reporting country
Greece,'08,23.4,EU-28
Greece,'08,24.2,Extra-EU-28
Greece,'08,24.1,Foreign country
Greece,'08,13.7,Reporting country
Greece,'09,25.4,EU-28
Greece,'09,25.2,Extra-EU-28
Greece,'09,25.3,Foreign country
Greece,'09,14.5,Reporting country
Greece,'10,26.1,EU-28
Greece,'10,29.7,Extra-EU-28
Greece,'10,29.1,Foreign country
Greece,'10,17.2,Reporting country
Greece,'10,18.6,Total
Greece,'11,22.7,EU-28
Greece,'11,37.3,Extra-EU-28
Greece,'11,34.9,Foreign country
Greece,'11,21.6,Reporting country
Greece,'11,23,Total
Greece,'12,33.6,EU-28
Greece,'12,43.4,Extra-EU-28
Greece,'12,41.9,Foreign country
Greece,'12,25.2,Reporting country
Greece,'12,26.8,Total
Greece,'13,39.9,EU-28
Greece,'13,44.6,Extra-EU-28
Greece,'13,43.8,Foreign country
Greece,'13,27,Reporting country
Greece,'13,28.5,Total
Greece,'14,36.6,EU-28
Greece,'14,40.8,Extra-EU-28
Greece,'14,40.2,Foreign country
Greece,'14,25.4,Reporting country
Greece,'14,26.7,Total
Greece,'15,36.8,EU-28
Greece,'15,37,Extra-EU-28
Greece,'15,36.9,Foreign country
Greece,'15,23.2,Reporting country
Greece,'15,24.1,Total
Greece,'16,27.3,EU-28
Greece,'16,38.8,Extra-EU-28
Greece,'16,36.7,Foreign country
Greece,'16,21.2,Reporting country
Greece,'16,22.2,Total
Germany**,'06,10.8,Reporting country
Germany**,'07,9.8,Reporting country
Germany**,'08,9.3,Reporting country
Germany**,'09,9.8,Reporting country
Germany**,'10,19.9,Foreign country
Germany**,'10,9.4,Reporting country
Germany**,'10,10.8,Total
Germany**,'11,18.1,Foreign country
Germany**,'11,8.5,Reporting country
Germany**,'11,9.7,Total
Germany**,'12,18,Foreign country
Germany**,'12,8,Reporting country
Germany**,'12,9.3,Total
Germany**,'13,17.4,Foreign country
Germany**,'13,7.5,Reporting country
Germany**,'13,8.7,Total
Germany**,'14,17.6,Foreign country
Germany**,'14,7.4,Reporting country
Germany**,'14,8.7,Total
Germany**,'15,18.6,Foreign country
Germany**,'15,6.9,Reporting country
Germany**,'15,8.5,Total
Germany**,'16,20.3,Foreign country
Germany**,'16,6.7,Reporting country
Germany**,'16,8.8,Total
France,'06,16.6,EU-28
France,'06,27.5,Extra-EU-28
France,'06,25.4,Foreign country
France,'06,12.3,Reporting country
France,'07,20,EU-28
France,'07,28.8,Extra-EU-28
France,'07,27.2,Foreign country
France,'07,11.7,Reporting country
France,'08,16.6,EU-28
France,'08,27.1,Extra-EU-28
France,'08,25.1,Foreign country
France,'08,11.6,Reporting country
France,'09,18.7,EU-28
France,'09,27.8,Extra-EU-28
France,'09,25.9,Foreign country
France,'09,13.8,Reporting country
France,'10,19.5,EU-28
France,'10,29.6,Extra-EU-28
France,'10,27.4,Foreign country
France,'10,13.7,Reporting country
France,'10,14.8,Total
France,'11,16.6,EU-28
France,'11,30.6,Extra-EU-28
France,'11,27.6,Foreign country
France,'11,13.6,Reporting country
France,'11,14.7,Total
France,'12,22.8,EU-28
France,'12,29.6,Extra-EU-28
France,'12,28.2,Foreign country
France,'12,14,Reporting country
France,'12,15.1,Total
France,'13,16.9,EU-28
France,'13,29,Extra-EU-28
France,'13,26.7,Foreign country
France,'13,12.7,Reporting country
France,'13,13.8,Total
France,'14,15.3,EU-28
France,'14,26.6,Extra-EU-28
France,'14,24.4,Foreign country
France,'14,13.4,Reporting country
France,'14,14.2,Total
France,'15,20,EU-28
France,'15,26.6,Extra-EU-28
France,'15,25.5,Foreign country
France,'15,13.7,Reporting country
France,'15,14.7,Total
France,'16,17.5,EU-28
France,'16,29.2,Extra-EU-28
France,'16,26.9,Foreign country
France,'16,13.2,Reporting country
France,'16,14.4,Total
Finland,'06,16.9,EU-28
Finland,'06,18.7,Extra-EU-28
Finland,'06,17.9,Foreign country
Finland,'06,9,Reporting country
Finland,'07,16.2,EU-28
Finland,'07,20.5,Extra-EU-28
Finland,'07,18.7,Foreign country
Finland,'07,8,Reporting country
Finland,'08,18.6,Extra-EU-28
Finland,'08,15.4,Foreign country
Finland,'08,8.6,Reporting country
Finland,'09,17.3,EU-28
Finland,'09,21,Extra-EU-28
Finland,'09,19.8,Foreign country
Finland,'09,10.9,Reporting country
Finland,'10,18.7,EU-28
Finland,'10,19.7,Extra-EU-28
Finland,'10,19.4,Foreign country
Finland,'10,10.1,Reporting country
Finland,'10,10.5,Total
Finland,'11,20.4,EU-28
Finland,'11,17.8,Extra-EU-28
Finland,'11,18.6,Foreign country
Finland,'11,9.6,Reporting country
Finland,'11,10,Total
Finland,'12,16.6,EU-28
Finland,'12,15.6,Extra-EU-28
Finland,'12,15.9,Foreign country
Finland,'12,10.1,Reporting country
Finland,'12,10.4,Total
Finland,'13,13.5,EU-28
Finland,'13,19.8,Extra-EU-28
Finland,'13,17.7,Foreign country
Finland,'13,10.5,Reporting country
Finland,'13,10.9,Total
Finland,'14,18.6,EU-28
Finland,'14,17.9,Extra-EU-28
Finland,'14,18.1,Foreign country
Finland,'14,11.4,Reporting country
Finland,'14,11.8,Total
Finland,'15,17.6,EU-28
Finland,'15,16.5,Extra-EU-28
Finland,'15,16.9,Foreign country
Finland,'15,12.1,Reporting country
Finland,'15,12.4,Total
Finland,'16,16,EU-28
Finland,'16,19.3,Extra-EU-28
Finland,'16,18.3,Foreign country
Finland,'16,11.3,Reporting country
Finland,'16,11.7,Total
EU-28,'06,15.8,EU-28
EU-28,'06,21.6,Extra-EU-28
EU-28,'06,19.9,Foreign country
EU-28,'06,13.3,Reporting country
EU-28,'07,16.4,EU-28
EU-28,'07,21.3,Extra-EU-28
EU-28,'07,19.9,Foreign country
EU-28,'07,12.5,Reporting country
EU-28,'08,17.7,EU-28
EU-28,'08,22.1,Extra-EU-28
EU-28,'08,20.7,Foreign country
EU-28,'08,12.2,Reporting country
EU-28,'09,18.8,EU-28
EU-28,'09,24.9,Extra-EU-28
EU-28,'09,23,Foreign country
EU-28,'09,13.9,Reporting country
EU-28,'10,19.1,EU-28
EU-28,'10,25.4,Extra-EU-28
EU-28,'10,22.7,Foreign country
EU-28,'10,14.4,Reporting country
EU-28,'10,15.2,Total
EU-28,'11,19.8,EU-28
EU-28,'11,25.5,Extra-EU-28
EU-28,'11,22.7,Foreign country
EU-28,'11,14.6,Reporting country
EU-28,'11,15.4,Total
EU-28,'12,20.9,EU-28
EU-28,'12,26.5,Extra-EU-28
EU-28,'12,23.5,Foreign country
EU-28,'12,15,Reporting country
EU-28,'12,15.8,Total
EU-28,'13,20.9,EU-28
EU-28,'13,26.9,Extra-EU-28
EU-28,'13,23.5,Foreign country
EU-28,'13,15,Reporting country
EU-28,'13,15.9,Total
EU-28,'14,19.1,EU-28
EU-28,'14,25,Extra-EU-28
EU-28,'14,22,Foreign country
EU-28,'14,14.6,Reporting country
EU-28,'14,15.4,Total
EU-28,'15,18.5,EU-28
EU-28,'15,24.4,Extra-EU-28
EU-28,'15,21.7,Foreign country
EU-28,'15,14.1,Reporting country
EU-28,'15,14.8,Total
EU-28,'16,16.3,EU-28
EU-28,'16,24.6,Extra-EU-28
EU-28,'16,21.5,Foreign country
EU-28,'16,13.3,Reporting country
EU-28,'16,14.2,Total
Estonia,'06,17.2,Extra-EU-28
Estonia,'06,21.4,Foreign country
Estonia,'06,10.4,Reporting country
Estonia,'07,19.7,Extra-EU-28
Estonia,'07,23.5,Foreign country
Estonia,'07,11.2,Reporting country
Estonia,'08,11.5,Reporting country
Estonia,'09,18.2,Reporting country
Estonia,'10,26.4,Extra-EU-28
Estonia,'10,27.3,Foreign country
Estonia,'10,17.9,Reporting country
Estonia,'10,18.1,Total
Estonia,'11,24.9,Extra-EU-28
Estonia,'11,27,Foreign country
Estonia,'11,14.4,Reporting country
Estonia,'11,14.7,Total
Estonia,'12,31.5,Extra-EU-28
Estonia,'12,28.1,Foreign country
Estonia,'12,14.9,Reporting country
Estonia,'12,15.1,Total
Estonia,'13,31.2,Extra-EU-28
Estonia,'13,27.3,Foreign country
Estonia,'13,13.8,Reporting country
Estonia,'13,14.3,Total
Estonia,'14,13.6,Reporting country
Estonia,'14,13.8,Total
Estonia,'15,12.4,Reporting country
Estonia,'15,12.5,Total
Estonia,'16,13.6,Reporting country
Estonia,'16,13.8,Total
Denmark,'06,8,Extra-EU-28
Denmark,'06,8.1,Foreign country
Denmark,'06,4.3,Reporting country
Denmark,'07,9.5,Extra-EU-28
Denmark,'07,8.7,Foreign country
Denmark,'07,4.8,Reporting country
Denmark,'08,8.9,Extra-EU-28
Denmark,'08,7.8,Foreign country
Denmark,'08,4.7,Reporting country
Denmark,'09,10.4,EU-28
Denmark,'09,9.9,Extra-EU-28
Denmark,'09,10,Foreign country
Denmark,'09,6.1,Reporting country
Denmark,'10,12.9,Extra-EU-28
Denmark,'10,11.4,Foreign country
Denmark,'10,6.8,Reporting country
Denmark,'10,7.3,Total
Denmark,'11,9.8,EU-28
Denmark,'11,12.9,Extra-EU-28
Denmark,'11,12.1,Foreign country
Denmark,'11,6.9,Reporting country
Denmark,'11,7.6,Total
Denmark,'12,8,EU-28
Denmark,'12,11.6,Extra-EU-28
Denmark,'12,10.5,Foreign country
Denmark,'12,7.9,Reporting country
Denmark,'12,8.2,Total
Denmark,'13,8.3,EU-28
Denmark,'13,11.6,Extra-EU-28
Denmark,'13,10.5,Foreign country
Denmark,'13,7.1,Reporting country
Denmark,'13,7.5,Total
Denmark,'14,8.4,EU-28
Denmark,'14,10.7,Extra-EU-28
Denmark,'14,9.9,Foreign country
Denmark,'14,6.9,Reporting country
Denmark,'14,7.3,Total
Denmark,'15,9,EU-28
Denmark,'15,11.8,Extra-EU-28
Denmark,'15,10.8,Foreign country
Denmark,'15,7.3,Reporting country
Denmark,'15,7.7,Total
Denmark,'16,8.4,EU-28
Denmark,'16,10.7,Extra-EU-28
Denmark,'16,9.8,Foreign country
Denmark,'16,7.1,Reporting country
Denmark,'16,7.4,Total
Czech Republic,'06,22.4,EU-28
Czech Republic,'06,18.2,Extra-EU-28
Czech Republic,'06,20.8,Foreign country
Czech Republic,'06,13.6,Reporting country
Czech Republic,'07,13.2,EU-28
Czech Republic,'07,13,Extra-EU-28
Czech Republic,'07,13.1,Foreign country
Czech Republic,'07,11.5,Reporting country
Czech Republic,'08,14.9,EU-28
Czech Republic,'08,16,Extra-EU-28
Czech Republic,'08,15.3,Foreign country
Czech Republic,'08,10.6,Reporting country
Czech Republic,'09,16.2,EU-28
Czech Republic,'09,18.2,Extra-EU-28
Czech Republic,'09,16.9,Foreign country
Czech Republic,'09,12.6,Reporting country
Czech Republic,'10,14.9,EU-28
Czech Republic,'10,17.5,Extra-EU-28
Czech Republic,'10,16.1,Foreign country
Czech Republic,'10,12.8,Reporting country
Czech Republic,'10,12.9,Total
Czech Republic,'11,19.8,EU-28
Czech Republic,'11,18.8,Extra-EU-28
Czech Republic,'11,19.4,Foreign country
Czech Republic,'11,12,Reporting country
Czech Republic,'11,12.1,Total
Czech Republic,'12,21.4,EU-28
Czech Republic,'12,22.1,Extra-EU-28
Czech Republic,'12,21.7,Foreign country
Czech Republic,'12,12.7,Reporting country
Czech Republic,'12,12.9,Total
Czech Republic,'13,9.9,EU-28
Czech Republic,'13,15.3,Extra-EU-28
Czech Republic,'13,12.6,Foreign country
Czech Republic,'13,12.8,Reporting country
Czech Republic,'13,12.8,Total
Czech Republic,'14,15.7,EU-28
Czech Republic,'14,15.1,Extra-EU-28
Czech Republic,'14,15.4,Foreign country
Czech Republic,'14,12,Reporting country
Czech Republic,'14,12.1,Total
Czech Republic,'15,17.6,EU-28
Czech Republic,'15,22,Extra-EU-28
Czech Republic,'15,19.6,Foreign country
Czech Republic,'15,11.6,Reporting country
Czech Republic,'15,11.8,Total
Czech Republic,'16,14.8,EU-28
Czech Republic,'16,18.1,Extra-EU-28
Czech Republic,'16,16.3,Foreign country
Czech Republic,'16,10.9,Reporting country
Czech Republic,'16,11.1,Total
Cyprus,'06,16,EU-28
Cyprus,'06,18.1,Extra-EU-28
Cyprus,'06,17.4,Foreign country
Cyprus,'06,10.6,Reporting country
Cyprus,'07,17.3,EU-28
Cyprus,'07,14.2,Extra-EU-28
Cyprus,'07,15.2,Foreign country
Cyprus,'07,9,Reporting country
Cyprus,'08,14.1,EU-28
Cyprus,'08,14.2,Extra-EU-28
Cyprus,'08,14.1,Foreign country
Cyprus,'08,9.9,Reporting country
Cyprus,'09,16,EU-28
Cyprus,'09,15.8,Extra-EU-28
Cyprus,'09,15.9,Foreign country
Cyprus,'09,10.2,Reporting country
Cyprus,'10,19,EU-28
Cyprus,'10,16.7,Extra-EU-28
Cyprus,'10,17.7,Foreign country
Cyprus,'10,11.2,Reporting country
Cyprus,'10,12.9,Total
Cyprus,'11,20.8,EU-28
Cyprus,'11,18.4,Extra-EU-28
Cyprus,'11,19.6,Foreign country
Cyprus,'11,13.1,Reporting country
Cyprus,'11,14.8,Total
Cyprus,'12,21,EU-28
Cyprus,'12,17.9,Extra-EU-28
Cyprus,'12,19.6,Foreign country
Cyprus,'12,16.5,Reporting country
Cyprus,'12,17.3,Total
Cyprus,'13,25.4,EU-28
Cyprus,'13,19.9,Extra-EU-28
Cyprus,'13,22.7,Foreign country
Cyprus,'13,19.7,Reporting country
Cyprus,'13,20.4,Total
Cyprus,'14,22.4,EU-28
Cyprus,'14,13.7,Extra-EU-28
Cyprus,'14,18.1,Foreign country
Cyprus,'14,19.7,Reporting country
Cyprus,'14,19.5,Total
Cyprus,'15,24.4,EU-28
Cyprus,'15,18.5,Extra-EU-28
Cyprus,'15,21.8,Foreign country
Cyprus,'15,17.7,Reporting country
Cyprus,'15,18.5,Total
Cyprus,'16,18.5,EU-28
Cyprus,'16,19.2,Extra-EU-28
Cyprus,'16,18.9,Foreign country
Cyprus,'16,17.6,Reporting country
Cyprus,'16,17.9,Total
Croatia,'06,24.3,Extra-EU-28
Croatia,'06,24.5,Foreign country
Croatia,'06,15.2,Reporting country
Croatia,'07,19.8,Extra-EU-28
Croatia,'07,18.6,Foreign country
Croatia,'07,14.1,Reporting country
Croatia,'08,17.3,Extra-EU-28
Croatia,'08,15.6,Foreign country
Croatia,'08,12.8,Reporting country
Croatia,'09,17.9,Extra-EU-28
Croatia,'09,17.1,Foreign country
Croatia,'09,14.7,Reporting country
Croatia,'10,25.4,Extra-EU-28
Croatia,'10,24,Foreign country
Croatia,'10,17.2,Reporting country
Croatia,'10,17.6,Total
Croatia,'11,33,EU-28
Croatia,'11,26.5,Extra-EU-28
Croatia,'11,27.7,Foreign country
Croatia,'11,18.5,Reporting country
Croatia,'11,19.1,Total
Croatia,'12,41.9,EU-28
Croatia,'12,32.3,Extra-EU-28
Croatia,'12,34.2,Foreign country
Croatia,'12,18.8,Reporting country
Croatia,'12,19.7,Total
Croatia,'13,28.8,EU-28
Croatia,'13,39.2,Extra-EU-28
Croatia,'13,37,Foreign country
Croatia,'13,21.4,Reporting country
Croatia,'13,22.3,Total
Croatia,'14,15.3,EU-28
Croatia,'14,33.3,Extra-EU-28
Croatia,'14,30.1,Foreign country
Croatia,'14,21.3,Reporting country
Croatia,'14,21.8,Total
Croatia,'15,21.7,EU-28
Croatia,'15,25.4,Extra-EU-28
Croatia,'15,24.6,Foreign country
Croatia,'15,19.6,Reporting country
Croatia,'15,19.9,Total
Croatia,'16,30.1,EU-28
Croatia,'16,32.6,Extra-EU-28
Croatia,'16,31.9,Foreign country
Croatia,'16,18.8,Reporting country
Croatia,'16,19.5,Total
Bulgaria,'06,23.9,Reporting country
Bulgaria,'07,20.3,Reporting country
Bulgaria,'08,18.5,Reporting country
Bulgaria,'09,20.9,Reporting country
Bulgaria,'10,23.5,Reporting country
Bulgaria,'10,23.5,Total
Bulgaria,'11,24.8,Reporting country
Bulgaria,'11,24.7,Total
Bulgaria,'12,24.7,Reporting country
Bulgaria,'12,24.7,Total
Bulgaria,'13,25.8,Reporting country
Bulgaria,'13,25.7,Total
Bulgaria,'14,24,Reporting country
Bulgaria,'14,24,Total
Bulgaria,'15,22.3,Reporting country
Bulgaria,'15,22.2,Total
Bulgaria,'16,22.4,Reporting country
Bulgaria,'16,22.4,Total
Belgium,'06,18.8,EU-28
Belgium,'06,31.2,Extra-EU-28
Belgium,'06,26.7,Foreign country
Belgium,'06,11.3,Reporting country
Belgium,'07,16.3,EU-28
Belgium,'07,30.2,Extra-EU-28
Belgium,'07,25.4,Foreign country
Belgium,'07,11.7,Reporting country
Belgium,'08,18,EU-28
Belgium,'08,30.6,Extra-EU-28
Belgium,'08,25.6,Foreign country
Belgium,'08,10.3,Reporting country
Belgium,'09,15.2,EU-28
Belgium,'09,29.7,Extra-EU-28
Belgium,'09,24.3,Foreign country
Belgium,'09,11.3,Reporting country
Belgium,'10,19.3,EU-28
Belgium,'10,29.5,Extra-EU-28
Belgium,'10,25.6,Foreign country
Belgium,'10,11.2,Reporting country
Belgium,'10,13,Total
Belgium,'11,18.3,EU-28
Belgium,'11,31.9,Extra-EU-28
Belgium,'11,26.8,Foreign country
Belgium,'11,11.9,Reporting country
Belgium,'11,13.8,Total
Belgium,'12,17.7,EU-28
Belgium,'12,31.5,Extra-EU-28
Belgium,'12,26.4,Foreign country
Belgium,'12,12.4,Reporting country
Belgium,'12,14.4,Total
Belgium,'13,19.7,EU-28
Belgium,'13,31.7,Extra-EU-28
Belgium,'13,27,Foreign country
Belgium,'13,13,Reporting country
Belgium,'13,14.9,Total
Belgium,'14,17.6,EU-28
Belgium,'14,29.1,Extra-EU-28
Belgium,'14,24,Foreign country
Belgium,'14,12.5,Reporting country
Belgium,'14,14.1,Total
Belgium,'15,17.7,EU-28
Belgium,'15,29.2,Extra-EU-28
Belgium,'15,24.3,Foreign country
Belgium,'15,12.8,Reporting country
Belgium,'15,14.4,Total
Belgium,'16,17.8,EU-28
Belgium,'16,28.7,Extra-EU-28
Belgium,'16,24.4,Foreign country
Belgium,'16,11.1,Reporting country
Belgium,'16,13,Total
Austria,'06,16.4,EU-28
Austria,'06,24.9,Extra-EU-28
Austria,'06,22.3,Foreign country
Austria,'06,7.2,Reporting country
Austria,'07,15.2,EU-28
Austria,'07,22,Extra-EU-28
Austria,'07,19.9,Foreign country
Austria,'07,7.3,Reporting country
Austria,'08,14.2,EU-28
Austria,'08,23.5,Extra-EU-28
Austria,'08,20.3,Foreign country
Austria,'08,6.6,Reporting country
Austria,'09,14.7,EU-28
Austria,'09,25,Extra-EU-28
Austria,'09,21.5,Foreign country
Austria,'09,7.3,Reporting country
Austria,'10,14.5,EU-28
Austria,'10,22.1,Extra-EU-28
Austria,'10,19.4,Foreign country
Austria,'10,7.2,Reporting country
Austria,'10,9.1,Total
Austria,'11,12.8,EU-28
Austria,'11,20.6,Extra-EU-28
Austria,'11,17.8,Foreign country
Austria,'11,6.8,Reporting country
Austria,'11,8.5,Total
Austria,'12,9.7,EU-28
Austria,'12,20.4,Extra-EU-28
Austria,'12,16.3,Foreign country
Austria,'12,6.8,Reporting country
Austria,'12,8.2,Total
Austria,'13,13,EU-28
Austria,'13,22.2,Extra-EU-28
Austria,'13,18.5,Foreign country
Austria,'13,6.9,Reporting country
Austria,'13,8.6,Total
Austria,'14,12,EU-28
Austria,'14,21.9,Extra-EU-28
Austria,'14,17.7,Foreign country
Austria,'14,7.6,Reporting country
Austria,'14,9.3,Total
Austria,'15,12.6,EU-28
Austria,'15,21.1,Extra-EU-28
Austria,'15,17.5,Foreign country
Austria,'15,6.9,Reporting country
Austria,'15,8.7,Total
Austria,'16,11.5,EU-28
Austria,'16,22.2,Extra-EU-28
Austria,'16,17.8,Foreign country
Austria,'16,6.9,Reporting country
Austria,'16,8.9,Total
 Macedonia*,'10,31.8,Total
 Macedonia*,'11,31.6,Total
 Macedonia*,'12,32.1,Total
 Macedonia*,'13,51.6,EU-28
 Macedonia*,'13,42.4,Extra-EU-28
 Macedonia*,'13,47.2,Foreign country
 Macedonia*,'13,31,Reporting country
 Macedonia*,'13,31.3,Total
 Macedonia*,'14,41.9,EU-28
 Macedonia*,'14,46.1,Extra-EU-28
 Macedonia*,'14,44.1,Foreign country
 Macedonia*,'14,31.6,Reporting country
 Macedonia*,'14,31.9,Total
 Macedonia*,'15,65.9,EU-28
 Macedonia*,'15,72.5,Extra-EU-28
 Macedonia*,'15,69.5,Foreign country
 Macedonia*,'15,31.9,Reporting country
 Macedonia*,'15,32.5,Total
 Macedonia*,'16,58.1,EU-28
 Macedonia*,'16,60.9,Extra-EU-28
 Macedonia*,'16,59.6,Foreign country
 Macedonia*,'16,30.7,Reporting country
 Macedonia*,'16,31.3,Total
,--,100,--
